	ARI	NMI
0	0.08237166355349913	0.2623050390609877
1	0.48858596313720537	0.6880286432717595
2	0.19362670878850216	0.42558558998670254
3	0.506816413839927	0.5970233216206339
4	0.49684502748418186	0.7111696292418894
5	0.26172243757380637	0.5179616960684715
6	0.14677560763031958	0.34907640945036567
7	0.1436274594706892	0.3730242822063495
8	0.05089905307166972	0.19618822082813947
9	0.1999048986326863	0.43654495716094327
10	0.3769473524443778	0.48189828114316974
11	0.4956809079453767	0.5531380137481254
12	0.001186908361328863	0.008798016036915306
13	0.13180709455686282	0.31077056430636224
14	0.3236824467665605	0.4556645879300468
15	0.3898271850238133	0.5223985012428493
16	0.0017274663150484964	0.012169908775387537
17	0.11122736098464527	0.3299810252169207
18	0.4221588108429599	0.6167470961515767
19	0.09897259021913828	0.26892949341592454
20	0.20368131688528482	0.4517832287033532
21	0.5019766826831303	0.6511641416616584
22	0.5767064361841063	0.6726087867115031
23	0.252114787632167	0.4602505499967884
24	0.0012162175068479572	0.009156227319772852
25	0.6642419415010152	0.7119138411830724
26	0.12872347760445413	0.32310634216247663
27	0.2975952007792031	0.5570029068431108
28	0.05159054664437821	0.18958626153306313
29	0.569846810727991	0.6665198708062916
30	0.3051802652067719	0.5023149290953801
31	0.6725804611138371	0.7306841934170711
32	0.1247239526176701	0.33246164443660203
33	0.572470047159855	0.6782998463778613
34	0.13976677352456396	0.3569991773064713
35	0.17546254552591523	0.4050568369265712
36	0.04908453810453002	0.17597958514955855
37	0.046898118261353636	0.18151554700837233
38	0.0013177782040651846	0.01012852731201348
39	0.04559190010674603	0.1685640614712828
40	0.07327490218614832	0.2589648128411134
41	0.07380816392980902	0.26183551919185855
42	0.48258438766688017	0.6453852555762404
43	0.6977216954929336	0.7008312135084558
44	0.15172414683228957	0.36799310142974184
45	0.00023231223722703086	0.0026527439875164184
46	0.3840453601827426	0.5772065658605967
47	0.6638899700777346	0.7212450624078534
48	0.272553756976327	0.4220544102719337
49	0.09303694376499398	0.26963952784772444
50	0.17439086883757687	0.37430889863203404
51	0.040908978429235326	0.1645239939472443
52	0.001493834239652518	0.009973023244667556
53	0.28131255751976386	0.42089840190332994
54	0.30149792692136557	0.4636564248423297
55	0.7530903831950715	0.7607811158453708
56	0.21975570383176432	0.5031209613130826
57	0.7393418068524727	0.6940519230319306
58	0.04359868188718489	0.17330750202895406
59	0.1957130088646556	0.43678250027723986
60	0.08918688580844165	0.26347636171996786
61	0.13377434336367383	0.3494075409038466
62	0.001797928955039024	0.01131241295040637
63	0.12699618273886346	0.3350773152789377
64	0.05906984867082406	0.21478418757407386
65	0.4800730591254217	0.6216571481940255
66	0.0015219047120009041	0.011398411755252405
67	0.740452234812671	0.7530199877444733
68	0.06138832637162725	0.22110732305291053
69	0.10525824064214087	0.32079725988661567
70	0.0015182774900434279	0.011325093186797312
71	0.08762434979093417	0.25882869952748744
72	0.33775109030384776	0.5491439268541605
73	0.17162166027810433	0.40120292111890066
74	0.3368382292078091	0.47325481127027935
75	0.5466256781651975	0.6813953873704532
76	0.0012101395337912179	0.00891382179652625
77	0.25103582035983024	0.4512025791776688
78	0.0	0.0
79	0.21126377738466856	0.4580751049668076
80	0.19088867946291863	0.3968951178883041
81	0.037940527293066593	0.1678756891073289
82	0.0014205861869828794	0.010940542928237767
83	0.19964137487923475	0.3476515053517743
84	0.11408597470916042	0.29763793811804645
85	0.001569814383713147	0.011732374887737654
86	0.11734232252873453	0.29900796046578093
87	0.48362605135596787	0.6626470858639308
88	0.40017125479523397	0.5687785224658422
89	0.13439042172495774	0.34648324579731515
90	0.1947918595922508	0.46380059333914586
91	0.3435836779908452	0.5640550100985233
92	0.46616447224514707	0.5348497246529389
93	0.09054475657676933	0.26846747581464586
94	0.16731718137490229	0.4080728942301052
95	0.0482044605329107	0.18387742476829738
96	0.22862828948701708	0.36175616456676957
97	0.6758109476855491	0.7099627323617069
98	0.33468692504832215	0.5380363384885086
99	0.23713662058126206	0.48713335596083285
Voted genes	0.8345284402505104	0.8382799175723186
Seurat HVGs	0.9940539027693736	0.980476048356769
