	ARI	NMI
0	0.9372231331036683	0.9072655777334556
1	0.8664507732833858	0.8817084375110404
2	0.6787538356639362	0.8210320946516079
3	0.9176590499881624	0.9088111954800129
4	0.7763245989367181	0.8578083072764399
5	0.93678154607836	0.908769103133269
6	0.9521917020922632	0.9272969643280898
7	0.9001479166295846	0.9059370398810047
8	0.6849862542598814	0.8362706119391606
9	0.8970387585404085	0.9061487112104117
10	0.6371118165863998	0.807082408855477
11	0.8829462130306328	0.8933054226829011
12	0.8816480538343477	0.8797332681826223
13	0.9269450026430983	0.9092610761640361
14	0.8668882404785756	0.8783490261556802
15	0.9402941058670029	0.9270061653122081
16	0.9719893333677229	0.9448107518498591
17	0.7311591634710364	0.8328393550631553
18	0.8789766739185189	0.8728422783381378
19	0.9412325483535033	0.9079854410690005
20	0.8776910614216844	0.8859105021103463
21	0.9053914992356296	0.8978091837549205
22	0.9574739786854551	0.9351671275314786
23	0.8486545689333741	0.8647886110641686
24	0.9096208000657788	0.8685138344521188
25	0.9185961573948646	0.9034600369795804
26	0.6445123832766921	0.7958383632663085
27	0.8665783466380697	0.8716910134806254
28	0.9019109013688518	0.8944131238590752
29	0.6592295569240881	0.7633945035097293
30	0.8949264587341003	0.8855084467045032
31	0.8999974350102172	0.8862209239068491
32	0.8967881370583375	0.8925701414719606
33	0.8866606125639727	0.8781935717758731
34	0.7979360617937352	0.8480893243508617
35	0.9389065486134239	0.9229379742694156
36	0.7216736853190542	0.8231533992296219
37	0.8717352286893537	0.8818563226182514
38	0.8884069688929807	0.900514152475643
39	0.9226712519503231	0.9022396703416756
40	0.886404286356701	0.8806146251285077
41	0.932191138055043	0.9240382526186727
42	0.90650737014703	0.9080890119906678
43	0.9208230253792199	0.9035220656484421
44	0.9334297892988862	0.9164456786841106
45	0.9542902505650301	0.9233306166686661
46	0.8866146393920211	0.8873130537495667
47	0.9047737958235915	0.8853397669105575
48	0.6966959862944202	0.8421110068951071
49	0.9002568409399171	0.9021288908665084
50	0.831576351257968	0.8652280480682507
51	0.9215314427682366	0.8994815299045913
52	0.6701492464260648	0.8421188299021258
53	0.5003820587790938	0.744469267367106
54	0.9170851745133057	0.8947418649341659
55	0.6638848002726049	0.8252360371737618
56	0.9457114413447487	0.9276119038305204
57	0.8711004695282051	0.8636721973011903
58	0.8500337723739719	0.8550199888302683
59	0.9355488580989085	0.919254235198912
60	0.6721259761552595	0.8148226962237433
61	0.9171102314727155	0.9087053177228027
62	0.7581469794680841	0.8346963200482355
63	0.9282494720460314	0.9200632162022995
64	0.8720264335701009	0.8709328945878027
65	0.896529721565217	0.8789337475225348
66	0.816511971645889	0.8333123696779837
67	0.9029844164316057	0.8984737460155751
68	0.9289618640333639	0.9097685427134975
69	0.8071526547808306	0.8505035226991821
70	0.9183374429256677	0.8956499246341688
71	0.9053112341509489	0.8996696149113393
72	0.8915832277271202	0.8892604471778076
73	0.6390606921633794	0.8020886576453856
74	0.6547477689382781	0.7933872585527947
75	0.9389968802714588	0.9247303620767088
76	0.899770569847782	0.897107622610602
77	0.8782827739120092	0.8969552953605393
78	0.9044631742157546	0.8935447346282928
79	0.7242802869195597	0.8312709887849681
80	0.8682437726156605	0.8773213638661526
81	0.8362133243956974	0.8565545121101827
82	0.93149010079596	0.9247613884233336
83	0.8373107544162965	0.8793793682973444
84	0.9128590798918006	0.8887242370683813
85	0.6528389461009526	0.8188295249082744
86	0.7720863376461969	0.8490140383861535
87	0.9690494495945803	0.9414998677469372
88	0.8996536352895221	0.8794819530392937
89	0.9506053046920542	0.9234112357987382
90	0.9440596164073765	0.9212410765318935
91	0.8982358391846131	0.8909457033030176
92	0.926679961737103	0.9067405808834075
93	0.9176109323167768	0.9076541311582098
94	0.6613913969336155	0.8348765256522848
95	0.7518932012789541	0.8203636170968897
96	0.6184804281090632	0.7672889792682018
97	0.9220544222305601	0.9145473712221369
98	0.8777500570357326	0.873279676571269
99	0.7342334201750457	0.8378252380311859
Voted genes	0.9725247687209532	0.9538397483659806
Seurat HVGs	0.9279463059268971	0.9536721710447305
