	Symbol	EnsID
94	GP2	ENSG00000169347
95	KRT19	ENSG00000171345
96	TIMP1	ENSG00000102265
97	CYBA	ENSG00000051523
98	UCHL1	ENSG00000154277
99	FOS	ENSG00000170345
100	GSTA1	ENSG00000243955
101	CYP2C9	ENSG00000138109
102	MT2A	ENSG00000125148
103	FGL1	ENSG00000104760
104	ANXA1	ENSG00000135046
105	ALDH3A1	ENSG00000108602
106	OLFM4	ENSG00000102837
107	DEFB1	ENSG00000164825
108	APOA4	ENSG00000110244
109	TACSTD2	ENSG00000184292
110	CPA2	ENSG00000158516
111	IGFBP1	ENSG00000146678
112	GLUL	ENSG00000135821
113	MAGEA4	ENSG00000147381
114	KRT20	ENSG00000171431
115	BPIFA1	ENSG00000198183
116	PRSS3	ENSG00000010438
117	FGF19	ENSG00000162344
118	CXCL6	ENSG00000124875
119	PGC	ENSG00000096088
120	SERPINC1	ENSG00000117601
121	CST9L	ENSG00000101435
122	LCN2	ENSG00000148346
123	CXCL3	ENSG00000163734
124	APOM	ENSG00000204444
125	CXCL5	ENSG00000163735
126	SDS	ENSG00000135094
127	BEX1	ENSG00000133169
128	GSTP1	ENSG00000084207
129	CLDN6	ENSG00000184697
130	BPIFB2	ENSG00000078898
131	MUC6	ENSG00000184956
132	UBE2C	ENSG00000175063
133	AGR3	ENSG00000173467
134	CKB	ENSG00000166165
135	GPX2	ENSG00000176153
136	HES1	ENSG00000114315
137	NPPB	ENSG00000120937
138	MAEL	ENSG00000143194
139	MSMB	ENSG00000263639
140	APOC1	ENSG00000130208
141	ADIRF	ENSG00000148671
142	ANKRD1	ENSG00000148677
143	FGB	ENSG00000171564
144	TPM2	ENSG00000198467
145	CFHR1	ENSG00000244414
146	AKR1C1	ENSG00000187134
147	TFPI	ENSG00000003436
148	TPSB2	ENSG00000197253
149	MS4A2	ENSG00000149534
150	TDO2	ENSG00000151790
151	SAA2	ENSG00000134339
152	PAEP	ENSG00000122133
153	C15orf48	ENSG00000166920
154	GGH	ENSG00000137563
155	VAX1	ENSG00000148704
156	MMP16	ENSG00000156103
157	CREB5	ENSG00000146592
158	GPC3	ENSG00000147257
159	BHMT	ENSG00000145692
160	HSD3B2	ENSG00000203859
161	CYP2A6	ENSG00000255974
162	CPA3	ENSG00000163751
163	INHA	ENSG00000123999
164	LGALS7B	ENSG00000178934
165	KNG1	ENSG00000113889
166	CTTN	ENSG00000085733
167	LGALS3	ENSG00000131981
168	SNCG	ENSG00000173267
169	AREG	ENSG00000109321
170	GKN1	ENSG00000169605
171	CP	ENSG00000047457
172	PNCK	ENSG00000130822
173	CST1	ENSG00000170373
174	WFDC2	ENSG00000101443
175	CFH	ENSG00000000971
176	BMX	ENSG00000102010
177	CRIP1	ENSG00000213145
178	FTH1	ENSG00000167996
179	FNDC1	ENSG00000164694
180	NNMT	ENSG00000166741
181	KRT81	ENSG00000205426
182	SLC22A1	ENSG00000175003
183	LY6K	ENSG00000160886
184	TCN1	ENSG00000134827
185	GAPT	ENSG00000175857
186	RPS2	ENSG00000140988
187	TM4SF1	ENSG00000169908
188	VCX3B	ENSG00000205642
189	SQSTM1	ENSG00000161011
190	TMEM190	ENSG00000160472
191	ALDOB	ENSG00000136872
192	PKM	ENSG00000067225
193	SLPI	ENSG00000124107
194	CYP3A7	ENSG00000160870
195	CHST4	ENSG00000140835
196	C19orf33	ENSG00000167644
197	TOP2A	ENSG00000131747
198	LGALS2	ENSG00000100079
199	NUPR1	ENSG00000176046
200	HAO2	ENSG00000116882
201	DCXR	ENSG00000169738
202	MIF	ENSG00000240972
203	RPL13	ENSG00000167526
204	ZNF559-ZNF177	ENSG00000270011
205	HPX	ENSG00000110169
206	CDC20	ENSG00000117399
207	MMP7	ENSG00000137673
208	ACTA1	ENSG00000143632
209	CDH4	ENSG00000179242
210	ALDOA	ENSG00000149925
211	PGAM2	ENSG00000164708
212	ARL14	ENSG00000179674
213	PRSS1	ENSG00000204983
214	SERPINA7	ENSG00000123561
215	DMBT1	ENSG00000187908
216	PCK1	ENSG00000124253
217	FGG	ENSG00000171557
218	HBA2	ENSG00000188536
219	AKR1C3	ENSG00000196139
220	LDHB	ENSG00000111716
221	CRYAB	ENSG00000109846
222	APCS	ENSG00000132703
223	CFHR2	ENSG00000080910
224	FXYD3	ENSG00000089356
225	PTTG1	ENSG00000164611
226	LRRN3	ENSG00000173114
227	CLDN5	ENSG00000184113
228	CENPF	ENSG00000117724
229	MUC5B	ENSG00000117983
230	GSTA2	ENSG00000244067
231	REG3G	ENSG00000143954
232	DMKN	ENSG00000161249
233	AZGP1	ENSG00000160862
234	COL20A1	ENSG00000101203
235	LEAP2	ENSG00000164406
236	IL2	ENSG00000109471
237	FGA	ENSG00000171560
238	CCL2	ENSG00000108691
239	ZFAND2A	ENSG00000178381
240	VCAM1	ENSG00000162692
241	JUN	ENSG00000177606
242	ANGPTL8	ENSG00000130173
243	HAMP	ENSG00000105697
244	P2RY12	ENSG00000169313
245	HSPA1B	ENSG00000204388
246	RAB25	ENSG00000132698
247	HSD17B6	ENSG00000025423
248	CA9	ENSG00000107159
249	TRIM54	ENSG00000138100
250	FAM156A	ENSG00000268350
251	MT1F	ENSG00000198417
252	APOC2	ENSG00000234906
253	TEX101	ENSG00000131126
254	RASD2	ENSG00000100302
255	GAGE1	ENSG00000205777
256	SOX4	ENSG00000124766
257	TUBB2B	ENSG00000137285
258	RBP2	ENSG00000114113
259	CCNB1	ENSG00000134057
260	MT-ND3	ENSG00000198840
261	PHLDA2	ENSG00000181649
262	HHIP	ENSG00000164161
263	CSF2	ENSG00000164400
264	MT-CO1	ENSG00000198804
265	UGT2B28	ENSG00000135226
266	TMEM95	ENSG00000182896
267	PPDPF	ENSG00000125534
268	GLB1	ENSG00000170266
269	MT-ND1	ENSG00000198888
270	ADH1A	ENSG00000187758
271	FBLN1	ENSG00000077942
272	ZNF177	ENSG00000188629
273	CD7	ENSG00000173762
274	KRT36	ENSG00000126337
275	SRRM4	ENSG00000139767
276	VIM	ENSG00000026025
277	TKTL1	ENSG00000007350
278	GEM	ENSG00000164949
279	MYL9	ENSG00000101335
280	EMP3	ENSG00000142227
281	CXCL2	ENSG00000081041
282	GNMT	ENSG00000124713
283	GAST	ENSG00000184502
284	C19orf84	ENSG00000262874
285	HMGCLL1	ENSG00000146151
286	FABP5	ENSG00000164687
287	CLIC3	ENSG00000169583
288	FABP4	ENSG00000170323
289	TAT	ENSG00000198650
290	APOA5	ENSG00000110243
291	MROH8	ENSG00000101353
292	MDK	ENSG00000110492
293	NDST3	ENSG00000164100
294	CPS1	ENSG00000021826
295	NPW	ENSG00000183971
296	CYP7A1	ENSG00000167910
297	ATP10B	ENSG00000118322
298	DES	ENSG00000175084
299	HPR	ENSG00000261701
300	PDZD4	ENSG00000067840
301	BTG2	ENSG00000159388
302	ALDH1L1	ENSG00000144908
303	TTYH1	ENSG00000167614
304	FXYD1	ENSG00000266964
305	GJA5	ENSG00000265107
306	HGF	ENSG00000019991
307	PEG10	ENSG00000242265
308	KLF6	ENSG00000067082
309	AKR1C4	ENSG00000198610
310	CRCT1	ENSG00000169509
311	SLC6A14	ENSG00000268104
312	BIRC5	ENSG00000089685
313	CACNA1G	ENSG00000006283
314	DLGAP2	ENSG00000198010
315	ORM2	ENSG00000228278
316	GTSF1	ENSG00000170627
317	PI3	ENSG00000124102
318	SPINK2	ENSG00000128040
319	CD74	ENSG00000019582
320	EPHX1	ENSG00000143819
321	UPK1B	ENSG00000114638
322	DSG3	ENSG00000134757
323	IL20	ENSG00000162891
324	HSD11B1	ENSG00000117594
325	KCTD16	ENSG00000183775
326	CRLF2	ENSG00000205755
327	MOG	ENSG00000204655
328	AFP	ENSG00000081051
329	SLC22A16	ENSG00000004809
330	STAC2	ENSG00000141750
331	ZNF165	ENSG00000197279
332	TXNIP	ENSG00000265972
333	MUC1	ENSG00000185499
334	MT-ND2	ENSG00000198763
335	SPRR2D	ENSG00000163216
336	VTN	ENSG00000109072
337	LGALS1	ENSG00000100097
338	KRTAP2-1	ENSG00000212725
339	RRM2	ENSG00000171848
340	TUBA1A	ENSG00000167552
341	CD3G	ENSG00000160654
342	APOB	ENSG00000084674
343	TBC1D3C	ENSG00000278299
344	CDK1	ENSG00000170312
345	TUBA1B	ENSG00000123416
346	CGA	ENSG00000135346
347	BIRC3	ENSG00000023445
348	TM7SF2	ENSG00000149809
349	GAGE13	ENSG00000274274
350	TMOD4	ENSG00000163157
351	EGR1	ENSG00000120738
352	SLC6A18	ENSG00000164363
353	ITIH3	ENSG00000162267
354	TMEM45A	ENSG00000181458
355	PDK4	ENSG00000004799
356	HRG	ENSG00000113905
357	GAL	ENSG00000069482
358	SMIM22	ENSG00000267795
359	PTN	ENSG00000105894
360	GAGE12C	ENSG00000237671
361	CUZD1	ENSG00000138161
362	ZG16B	ENSG00000162078
363	STMN2	ENSG00000104435
364	COL4A1	ENSG00000187498
365	ZFP42	ENSG00000179059
366	CD200R1L	ENSG00000206531
367	ELF3	ENSG00000163435
368	FPR2	ENSG00000171049
369	IGFBP7	ENSG00000163453
370	FLG2	ENSG00000143520
371	KLK1	ENSG00000167748
372	CELA3A	ENSG00000142789
373	DCN	ENSG00000011465
374	IGFBP2	ENSG00000115457
375	MT-CO2	ENSG00000198712
376	C6	ENSG00000039537
377	IFITM1	ENSG00000185885
378	MLF1	ENSG00000178053
379	PRAME	ENSG00000185686
380	UBD	ENSG00000213886
381	LTB	ENSG00000227507
382	SPP2	ENSG00000072080
383	CTSG	ENSG00000100448
384	CRABP2	ENSG00000143320
385	NEUROD1	ENSG00000162992
386	HSPA1A	ENSG00000204389
387	CLNK	ENSG00000109684
388	BEND2	ENSG00000177324
389	PHKG1	ENSG00000164776
390	MNDA	ENSG00000163563
391	CCNB2	ENSG00000157456
392	ALDH1A1	ENSG00000165092
393	EDN1	ENSG00000078401
394	UNC80	ENSG00000144406
395	STMN1	ENSG00000117632
396	HIF3A	ENSG00000124440
397	MYL3	ENSG00000160808
398	GDF15	ENSG00000130513
399	CRH	ENSG00000147571
400	PTPRS	ENSG00000105426
401	DNAJA4	ENSG00000140403
402	SIGLEC5	ENSG00000268500
403	RASGEF1C	ENSG00000146090
404	PLAC8	ENSG00000145287
405	HMGB2	ENSG00000164104
406	GCNT1	ENSG00000187210
407	HDC	ENSG00000140287
408	SERTM1	ENSG00000180440
409	SAA4	ENSG00000148965
410	PRSS23	ENSG00000150687
411	CALB1	ENSG00000104327
412	HAPLN1	ENSG00000145681
413	HSPA5	ENSG00000044574
414	MBD3L2	ENSG00000230522
415	CYP17A1	ENSG00000148795
416	C11orf86	ENSG00000173237
417	CES1	ENSG00000198848
418	TPPP3	ENSG00000159713
419	LUM	ENSG00000139329
420	PLK1	ENSG00000166851
421	DIO2	ENSG00000211448
422	DUSP1	ENSG00000120129
423	NAALADL1	ENSG00000168060
424	VSTM2B	ENSG00000187135
425	SPINT2	ENSG00000167642
426	S100A14	ENSG00000189334
427	PLIN2	ENSG00000147872
428	PRAP1	ENSG00000165828
429	CPB2	ENSG00000080618
430	CTXN2	ENSG00000233932
431	TMSB4X	ENSG00000205542
432	MYLPF	ENSG00000180209
433	TF	ENSG00000091513
434	PCDHA4	ENSG00000204967
435	UGT2B15	ENSG00000196620
436	C11orf53	ENSG00000150750
437	C4orf48	ENSG00000243449
438	C7	ENSG00000112936
439	VSIG2	ENSG00000019102
440	DHRS2	ENSG00000100867
441	SPTSSB	ENSG00000196542
442	DUOXA2	ENSG00000140274
443	ANGPTL3	ENSG00000132855
444	MAGEA1	ENSG00000198681
445	HBB	ENSG00000244734
446	PLP2	ENSG00000102007
447	ENO2	ENSG00000111674
448	SHISA3	ENSG00000178343
449	SPACA1	ENSG00000118434
450	EXD1	ENSG00000178997
451	NR0B2	ENSG00000131910
452	CDH7	ENSG00000081138
453	INSIG1	ENSG00000186480
454	NEK2	ENSG00000117650
455	C2CD4B	ENSG00000205502
456	HBA1	ENSG00000206172
457	CCR8	ENSG00000179934
458	RNASE2	ENSG00000169385
459	RGS2	ENSG00000116741
460	TNFRSF11B	ENSG00000164761
461	UGT2B4	ENSG00000156096
462	SCTR	ENSG00000080293
463	CDKN3	ENSG00000100526
464	CDKN1C	ENSG00000129757
465	MMP10	ENSG00000166670
466	MEFV	ENSG00000103313
467	ARC	ENSG00000198576
468	KNDC1	ENSG00000171798
469	NUTM2D	ENSG00000214562
470	PSD2	ENSG00000146005
471	SCGB3A2	ENSG00000164265
472	GPRIN2	ENSG00000204175
473	SERPINA12	ENSG00000165953
474	CSF3	ENSG00000108342
475	FCGR3B	ENSG00000162747
476	CYP24A1	ENSG00000019186
477	MT-ATP6	ENSG00000198899
478	TLR8	ENSG00000101916
479	CHCHD10	ENSG00000250479
480	BAAT	ENSG00000136881
481	PDZK1IP1	ENSG00000162366
482	RNF113B	ENSG00000139797
483	IFNB1	ENSG00000171855
484	LGALS3BP	ENSG00000108679
485	PABPC5	ENSG00000174740
486	GATM	ENSG00000171766
487	ASIC4	ENSG00000072182
488	TM4SF20	ENSG00000168955
489	ERICH4	ENSG00000204978
490	IGFBP5	ENSG00000115461
491	HSD17B13	ENSG00000170509
492	CCDC166	ENSG00000255181
493	PDIA2	ENSG00000185615
494	PBK	ENSG00000168078
495	PFKP	ENSG00000067057
496	TFPI2	ENSG00000105825
497	MCEMP1	ENSG00000183019
498	CLDN4	ENSG00000189143
499	SERPINB5	ENSG00000206075
500	MT1M	ENSG00000205364
501	NANOGNB	ENSG00000205857
502	SLC5A1	ENSG00000100170
503	CKS2	ENSG00000123975
504	C11orf96	ENSG00000187479
505	CYP2A7	ENSG00000198077
506	RGS7	ENSG00000182901
507	FCRLA	ENSG00000132185
508	MT-CYB	ENSG00000198727
509	PHGR1	ENSG00000233041
510	XAGE3	ENSG00000171402
511	PRSS57	ENSG00000185198
512	AQP1	ENSG00000240583
513	G0S2	ENSG00000123689
514	C3	ENSG00000125730
515	PRAMEF15	ENSG00000204501
516	TSPAN8	ENSG00000127324
517	LYPD6B	ENSG00000150556
518	ATF5	ENSG00000169136
519	BEAN1	ENSG00000166546
520	PTGR1	ENSG00000106853
521	ATP1B1	ENSG00000143153
522	P2RY13	ENSG00000181631
523	FABP3	ENSG00000121769
524	FGF21	ENSG00000105550
525	PNMA5	ENSG00000198883
526	HILPDA	ENSG00000135245
527	OBP2B	ENSG00000171102
528	ACOX2	ENSG00000168306
529	MMP1	ENSG00000196611
530	LRCH2	ENSG00000130224
531	NWD1	ENSG00000188039
532	SULT2A1	ENSG00000105398
533	CD207	ENSG00000116031
534	CXCL11	ENSG00000169248
535	ALOX5AP	ENSG00000132965
536	PRSS38	ENSG00000185888
537	SPATA22	ENSG00000141255
538	SLC25A47	ENSG00000140107
539	NPIPB6	ENSG00000198156
540	BIRC7	ENSG00000101197
541	FOSB	ENSG00000125740
542	SLC4A10	ENSG00000144290
543	NDRG1	ENSG00000104419
544	NKAIN4	ENSG00000101198
545	KCNS2	ENSG00000156486
546	NUSAP1	ENSG00000137804
547	NR4A1	ENSG00000123358
548	RGCC	ENSG00000102760
549	MS4A1	ENSG00000156738
550	RDH8	ENSG00000080511
551	DNAH17	ENSG00000187775
552	ADAMTSL1	ENSG00000178031
553	SGK1	ENSG00000118515
554	NFKBIA	ENSG00000100906
555	COL6A2	ENSG00000142173
556	ST6GALNAC1	ENSG00000070526
557	CCL3L3	ENSG00000276085
558	HPGDS	ENSG00000163106
559	ANG	ENSG00000214274
560	FSCN1	ENSG00000075618
561	MUCL1	ENSG00000172551
562	CRISP2	ENSG00000124490
563	TNXB	ENSG00000168477
564	S100A4	ENSG00000196154
565	ASCL5	ENSG00000232237
566	MAT1A	ENSG00000151224
567	OSR2	ENSG00000164920
568	MEF2C	ENSG00000081189
569	DEFB124	ENSG00000180383
570	CALB2	ENSG00000172137
571	SIRPB2	ENSG00000196209
572	SLC22A7	ENSG00000137204
573	ARG1	ENSG00000118520
574	TPX2	ENSG00000088325
575	OTOP3	ENSG00000182938
576	CCR7	ENSG00000126353
577	JUNB	ENSG00000171223
578	KCNE2	ENSG00000159197
579	RFX8	ENSG00000196460
580	VEGFC	ENSG00000150630
581	CFHR3	ENSG00000116785
582	TKT	ENSG00000163931
583	CEACAM7	ENSG00000007306
584	MYC	ENSG00000136997
585	ID3	ENSG00000117318
586	SLCO1B3	ENSG00000111700
587	HMGCS2	ENSG00000134240
588	TMEM31	ENSG00000179363
589	ADGRL4	ENSG00000162618
590	FKBP10	ENSG00000141756
591	LGALS14	ENSG00000006659
592	OSM	ENSG00000099985
593	MZB1	ENSG00000170476
594	DCHS2	ENSG00000197410
595	MMP12	ENSG00000262406
596	AADAC	ENSG00000114771
597	CAV1	ENSG00000105974
598	BCL2A1	ENSG00000140379
599	CERS1	ENSG00000223802
600	FCGBP	ENSG00000275395
601	SPATA12	ENSG00000186451
602	KRAS	ENSG00000133703
603	OBP2A	ENSG00000122136
604	ATF3	ENSG00000162772
605	HES4	ENSG00000188290
606	CLEC4D	ENSG00000166527
607	MMP9	ENSG00000100985
608	KCNC2	ENSG00000166006
609	DAND5	ENSG00000179284
610	TBPL2	ENSG00000182521
611	TNNT1	ENSG00000105048
612	IL7R	ENSG00000168685
613	PKIB	ENSG00000135549
614	ACAN	ENSG00000157766
615	AKR1B1	ENSG00000085662
616	MUSTN1	ENSG00000272573
617	SLC9A3	ENSG00000066230
618	AURKA	ENSG00000087586
619	CD9	ENSG00000010278
620	C17orf64	ENSG00000141371
621	MT-ND4	ENSG00000198886
622	SLITRK6	ENSG00000184564
623	HBQ1	ENSG00000086506
624	ISL1	ENSG00000016082
625	MAFF	ENSG00000185022
626	CLDN10	ENSG00000134873
627	KRT13	ENSG00000171401
628	EGR2	ENSG00000122877
629	MFAP5	ENSG00000197614
630	NKX6-3	ENSG00000165066
631	TCHH	ENSG00000159450
632	TSPY10	ENSG00000236424
633	OTOF	ENSG00000115155
634	DLGAP5	ENSG00000126787
635	NUF2	ENSG00000143228
636	CXCL9	ENSG00000138755
637	KLF14	ENSG00000266265
638	CALCA	ENSG00000110680
639	PON1	ENSG00000005421
640	FSBP	ENSG00000265817
641	SERPINB4	ENSG00000206073
642	NLRC3	ENSG00000167984
643	CD24	ENSG00000272398
644	IQGAP3	ENSG00000183856
645	PRR23A	ENSG00000206260
646	ANXA5	ENSG00000164111
647	PRSS2	ENSG00000275896
648	NLRP8	ENSG00000179709
649	PAGE4	ENSG00000101951
650	APELA	ENSG00000248329
651	CCL7	ENSG00000108688
652	HOXD11	ENSG00000128713
653	BGN	ENSG00000182492
654	KRT7	ENSG00000135480
655	PCDHB12	ENSG00000120328
656	TPSG1	ENSG00000116176
657	ACTL8	ENSG00000117148
658	SCN7A	ENSG00000136546
659	COL11A2	ENSG00000204248
660	SERPINE1	ENSG00000106366
661	LRRC43	ENSG00000158113
662	MYO15A	ENSG00000091536
663	GNG11	ENSG00000127920
664	FCER2	ENSG00000104921
665	HPSE2	ENSG00000172987
666	POTEH	ENSG00000198062
667	NCR1	ENSG00000189430
668	RIPPLY2	ENSG00000203877
669	CLEC7A	ENSG00000172243
670	CSTA	ENSG00000121552
671	MYOCD	ENSG00000141052
672	CFB	ENSG00000243649
673	DEPDC1	ENSG00000024526
674	IER3	ENSG00000137331
675	DGKB	ENSG00000136267
676	LRRC71	ENSG00000160838
677	NMB	ENSG00000197696
678	RASD1	ENSG00000108551
679	PRL	ENSG00000172179
680	GNG13	ENSG00000127588
681	EGR4	ENSG00000135625
682	ITGB8	ENSG00000105855
683	ZFP36	ENSG00000128016
684	POU3F1	ENSG00000185668
685	MT-CO3	ENSG00000198938
686	CBR1	ENSG00000159228
687	SLC2A2	ENSG00000163581
688	BCHE	ENSG00000114200
689	ANXA4	ENSG00000196975
690	ATP2B3	ENSG00000067842
691	SPIB	ENSG00000269404
692	CDH3	ENSG00000062038
693	CR1	ENSG00000203710
694	ACTBL2	ENSG00000169067
695	APOBEC3C	ENSG00000244509
696	LAMP5	ENSG00000125869
697	IER5	ENSG00000162783
698	S100A2	ENSG00000196754
699	EREG	ENSG00000124882
700	YBX3	ENSG00000060138
701	VCAN	ENSG00000038427
702	GTSE1	ENSG00000075218
703	CAPN9	ENSG00000135773
704	ITIH2	ENSG00000151655
705	KHK	ENSG00000138030
706	HIF1A	ENSG00000100644
707	MOBP	ENSG00000168314
708	TLR7	ENSG00000196664
709	SOCS3	ENSG00000184557
710	BSG	ENSG00000172270
711	HACD1	ENSG00000165996
712	SMIM24	ENSG00000095932
713	RGS13	ENSG00000127074
714	SPARC	ENSG00000113140
715	ZNF556	ENSG00000172000
716	ACKR1	ENSG00000213088
717	DNAJB1	ENSG00000132002
718	DDIT4	ENSG00000168209
719	S100A12	ENSG00000163221
720	FBXL2	ENSG00000153558
721	TMC5	ENSG00000103534
722	TGFBR3L	ENSG00000260001
723	HMGA1	ENSG00000137309
724	IGFBP3	ENSG00000146674
725	GSG1	ENSG00000111305
726	DUOXA1	ENSG00000140254
727	PRM1	ENSG00000175646
728	NAT8	ENSG00000144035
729	NEDD9	ENSG00000111859
730	CD69	ENSG00000110848
731	ENTPD3	ENSG00000168032
732	CDH17	ENSG00000079112
733	UGT2B17	ENSG00000197888
734	RDH16	ENSG00000139547
735	DPPA5	ENSG00000203909
736	KRT14	ENSG00000186847
737	ADRA2A	ENSG00000150594
738	PPP1R17	ENSG00000106341
739	G6PD	ENSG00000160211
740	FOXS1	ENSG00000179772
741	GKN2	ENSG00000183607
742	CRYGN	ENSG00000127377
743	PLAUR	ENSG00000011422
744	HMGCS1	ENSG00000112972
745	CENPU	ENSG00000151725
746	ITIH1	ENSG00000055957
747	DLK1	ENSG00000185559
748	KCNQ2	ENSG00000075043
749	GUCA2B	ENSG00000044012
750	PDCD6IP	ENSG00000170248
751	DCLK3	ENSG00000163673
752	BPIFB1	ENSG00000125999
753	TMPRSS15	ENSG00000154646
754	COX8C	ENSG00000187581
755	FHL2	ENSG00000115641
756	ALDH2	ENSG00000111275
757	APOD	ENSG00000189058
758	KLHL41	ENSG00000239474
759	SHBG	ENSG00000129214
760	MYH1	ENSG00000109061
761	SFN	ENSG00000175793
762	ZNF490	ENSG00000188033
763	RERGL	ENSG00000111404
764	CCL16	ENSG00000275152
765	CCL17	ENSG00000102970
766	TTC36	ENSG00000172425
767	SPATA4	ENSG00000150628
768	ADGRB3	ENSG00000135298
769	ASPN	ENSG00000106819
770	MUC13	ENSG00000173702
771	EGFL8	ENSG00000241404
772	AFM	ENSG00000079557
773	MT3	ENSG00000087250
774	HOXA5	ENSG00000106004
775	SERPINH1	ENSG00000149257
776	LXN	ENSG00000079257
777	CPB1	ENSG00000153002
778	CACNA2D3	ENSG00000157445
779	ANGPT2	ENSG00000091879
780	IGSF6	ENSG00000140749
781	SST	ENSG00000157005
782	DRICH1	ENSG00000189269
783	CLIC1	ENSG00000213719
784	ANKRD30BL	ENSG00000163046
785	SCD	ENSG00000099194
786	KLK4	ENSG00000167749
787	TNNI3	ENSG00000129991
788	KIR3DX1	ENSG00000276848
789	DMC1	ENSG00000100206
790	FOXD1	ENSG00000251493
791	FAM83B	ENSG00000168143
792	DUSP2	ENSG00000158050
793	ABHD12B	ENSG00000131969
794	LGI4	ENSG00000153902
795	SPINT1	ENSG00000166145
796	LAIR2	ENSG00000167618
797	MISP	ENSG00000099812
798	SPDYE1	ENSG00000136206
799	SPC25	ENSG00000152253
800	JCHAIN	ENSG00000132465
801	MUC5AC	ENSG00000215182
802	LAMA4	ENSG00000112769
803	GSTM5	ENSG00000134201
804	PCDH7	ENSG00000169851
805	KCNMB2	ENSG00000197584
806	SSX4	ENSG00000268009
807	KLRC2	ENSG00000205809
808	TPM4	ENSG00000167460
809	ERP27	ENSG00000139055
810	PTGS2	ENSG00000073756
811	EFEMP1	ENSG00000115380
812	FAM3B	ENSG00000183844
813	PMAIP1	ENSG00000141682
814	TRIM31	ENSG00000204616
815	C11orf21	ENSG00000110665
816	C9	ENSG00000113600
817	HAL	ENSG00000084110
818	CD14	ENSG00000170458
819	ADCY2	ENSG00000078295
820	CDCA3	ENSG00000111665
821	MAP1B	ENSG00000131711
822	SSX1	ENSG00000126752
823	FN1	ENSG00000115414
824	TLE4	ENSG00000106829
825	RGS5	ENSG00000143248
826	TREM1	ENSG00000124731
827	CYTL1	ENSG00000170891
828	CCDC116	ENSG00000161180
829	ADORA2A	ENSG00000128271
830	NDN	ENSG00000182636
831	RPS4Y1	ENSG00000129824
832	PINLYP	ENSG00000234465
833	COL1A2	ENSG00000164692
834	PCDH11X	ENSG00000102290
835	FGFR2	ENSG00000066468
836	POTEF	ENSG00000196604
837	MAGEC2	ENSG00000046774
